City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
556,Staraya Poltavka,RU,87.71,overcast clouds,50.4772,46.4814,"Hotel ""Oktyabrskaya"""
557,Kibala,TD,76.68,overcast clouds,9.1104,18.3463,hotel safari
559,Barnstead,US,75.85,scattered clouds,43.334,-71.2928,Sun River Campground
565,Almaznyy,RU,87.94,scattered clouds,48.0448,40.045,
566,Loralai,PK,87.6,broken clouds,30.3705,68.598,Sana Poultry Loralai
567,Arecibo,PR,89.29,clear sky,18.4724,-66.7157,Atlantic Sand Oasis
569,Saint-Gaudens,FR,75.13,broken clouds,43.0833,0.6667,L'Ardiégeoise
571,Kalmunai,LK,83.53,overcast clouds,7.4167,81.8167,VS Villa
573,Benghazi,LY,88.93,clear sky,32.1167,20.0667,Tibesti Hotel
582,San Antonio,US,77.02,moderate rain,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
586,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
587,Plainview,US,78.49,clear sky,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
589,Dingle,PH,78.53,light rain,10.9995,122.6711,SEGAYA PROPERTY
592,Kloulklubed,PW,83.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
594,Oriximina,BR,89.53,clear sky,-1.7656,-55.8661,Pousada Tia Amélia
602,Vanimo,PG,78.57,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
607,Tres Lagoas,BR,81.01,clear sky,-20.7511,-51.6783,Druds Express Hotel
608,Osmena,PH,82.47,light rain,10.5208,119.9258,Arjemarkyza Lodge
611,Daru,PG,76.41,overcast clouds,-9.0763,143.2092,Daru Lodge
614,Bandarbeyla,SO,80.08,scattered clouds,9.4942,50.8122,JABIR HOTEL
615,Hsinchu,TW,81.93,overcast clouds,24.8036,120.9686,迎曦大飯店
617,Bukama,CD,84.24,scattered clouds,-9.2,25.85,
618,Bonnyville,CA,84.6,few clouds,54.2668,-110.735,Best Western Bonnyville Inn & Suites
628,Xuddur,SO,78.69,overcast clouds,4.1213,43.8894,Banjanay Hotel
629,Burla,IN,79.09,scattered clouds,21.5,83.8667,Gents Hostel 2(ଭୃଗୁ)
630,Vila Real,PT,75.13,broken clouds,41.3006,-7.7441,Hotel Mira Corgo
636,Hobyo,SO,78.1,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
639,Massaguet,TD,87.13,overcast clouds,12.4755,15.4365,Alwatane
641,Garden City,US,75.49,few clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
642,Neftcala,AZ,83.79,overcast clouds,39.3742,49.2472,Otel restoran
644,Guangzhou,CN,84.15,moderate rain,23.1167,113.25,Guangzhou Hotel
646,Samarai,PG,77.81,scattered clouds,-10.6167,150.6667,Nuli Sapi
647,Prata,BR,85.23,clear sky,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
648,Aloleng,PH,82.18,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
650,Derzhavinsk,KZ,78.69,clear sky,51.1,66.3167,Ooo.khim Baza
652,Mayumba,GA,76.91,scattered clouds,-3.432,10.6554,LIKWALE LODGE
653,Guerrero Negro,MX,77.11,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
655,Muli,MV,81.07,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
656,San Quintin,MX,75.6,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
658,Ojinaga,MX,82.58,broken clouds,29.5667,-104.4167,Suites Las Palmas
660,Safford,US,85.51,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
663,Meulaboh,ID,78.17,overcast clouds,4.1363,96.1285,Kost Pria
664,Kostyantynivka,UA,87.49,clear sky,48.5277,37.7069,Мотель
666,Yuncheng,CN,77.58,clear sky,35.0231,110.9928,晋州快捷酒店
667,Vila Franca Do Campo,PT,75.61,clear sky,37.7167,-25.4333,Pestana Bahia Praia
668,Lumeje,AO,78.8,clear sky,-11.55,20.7833,
671,Jalingo,NG,83.39,overcast clouds,8.8833,11.3667,Debright Motel
672,Golfito,CR,84.58,scattered clouds,8.639,-83.166,Banana Bay Marina
673,Acapulco,MX,87.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
675,Novikovo,RU,86.5,clear sky,51.1537,37.8879,
676,Teguise,ES,75.42,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
677,Vilhena,BR,82.62,clear sky,-12.7406,-60.1458,Hotel Mirage
679,Amahai,ID,78.22,few clouds,-3.3333,128.9167,HOTEL ISABELA
681,Lorengau,PG,81.7,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
682,Camacupa,AO,77.58,clear sky,-12.0167,17.4833,
685,Sassandra,CI,80.13,scattered clouds,4.95,-6.0833,la terrasse
693,Nouakchott,MR,84.13,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
694,Nantucket,US,77.11,clear sky,41.2835,-70.0995,Jared Coffin House
695,Linqiong,CN,87.62,clear sky,30.4159,103.4609,Tianlun Tanxianglou Hotel
697,Makurdi,NG,81.12,light rain,7.7411,8.5121,Doo Palace Hotel
708,Xiantao,CN,80.31,clear sky,30.3833,113.4,City Convenient Chain Hotel
